"","return"
"96",0.131560661509242
"97",-0.00339105634475517
"98",0.0843460103378633
"99",0.0164977744104555
"100",-0.128771785984919
"101",-0.00718634594270893
"102",0.0555372043257839
"103",-0.05901001415043
"104",0.142504952356165
"105",0.051996785400148
"106",0.0693009155107493
"107",0.0752389363605169
"108",0.00139163553797693
"109",0.0186303602775225
"110",-0.0918327571881379
"111",-0.06454545967956
"112",-0.00940594059405936
"113",0.0613839421752539
"114",-0.0274814244863743
"115",-0.0874663454725804
"116",-0.017935478861757
"117",0.09165777233137
"118",0.0802865523193356
"119",-0.201578797410013
"120",-0.166168701675821
"121",-0.0217761628638801
"122",-0.028651820334214
"123",-0.0219549244029957
"124",-0.0089393747855453
"125",-0.0676045045373374
"126",-0.0337114993746091
"127",0.0172107100998016
"128",-0.0239044418817353
"129",-0.0496824822908127
"130",-0.0578347471478101
"131",-0.0611119200265728
"132",-0.0260392624389818
"133",0.0267180178062065
"134",-0.0220862537938219
"135",0.0160297153108683
"136",-0.0200167304015296
"137",-0.0306526854385435
"138",-0.0104182846286657
"139",0.0211052290896732
"140",-0.0706519184571546
"141",-0.0929241040305979
"142",-0.0114922955204762
"143",-0.0929066131665724
"144",0.0684916311908937
"145",0.0409808732855165
"146",0.0793939082582115
"147",0.0442509218067131
"148",-0.0422685124985086
"149",-0.0170231706600153
"150",0.0547719130370395
"151",-0.00370709870251546
"152",-0.023332136396588
"153",-0.017933449504423
"154",-0.0439627039627039
"155",-0.0441696922410826
"156",-0.052233937295158
"157",0.0038039125491598
"158",-0.065123459297838
"159",0.00483392403039054
"160",0.0214378383988653
"161",-0.0260854249825989
"162",-0.03897892467135
"163",0.0730425719786343
"164",0.013169609734382
"165",0.00385791938646105
"166",-0.00334073877578098
"167",-0.0503921682788677
"168",-0.0206410768465383
"169",0.00265083558558972
"170",0.0214217796418167
"171",-0.00827862281441747
"172",0.0270508736058498
"173",-0.0316506595745046
"174",-0.0354688421362053
"175",-0.113904947942962
"176",-0.00921789792975414
"177",-0.00208490607466752
"178",-0.0338514926592933
"179",-0.0398201488782077
"180",-0.0126680355735064
"181",-0.00970071908868163
"182",-0.0228836917020338
"183",0.0208353036866098
"184",0.021271667732103
"185",-0.00126550125642955
"186",-0.0147669935100618
"187",-0.0404820787745667
"188",0.00280081766580909
"189",0.00621357548871436
"190",-0.0733978151104467
"191",0.00866314694207876
"192",-0.0619525377795098
"193",0.0297487808321838
"194",-0.0426379073937349
"195",9.36458534167366e-05
"196",0.0757110910372785
"197",0.00486949397713744
"198",0.0357276616127002
"199",-0.118646069074092
