AAPL.Close,AXP.Close,BA.Close,CAT.Close,CSCO.Close,CVX.Close,DIS.Close,GE.Close,GS.Close,HD.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,KO.Close,MCD.Close,MMM.Close,MRK.Close,MSFT.Close,NKE.Close,PFE.Close,PG.Close,TRV.Close,UNH.Close,UTX.Close,V.Close,VZ.Close,WMT.Close,XOM.Close,DWDP.Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.529999,76.510002,162.259995,93.769997,31.18,112.209999,110.610001,29.68,230.410004,136.949997,174.580002,36.68,113.57,84.589996,41.400002,123.220001,174.179993,64.18,63.169998,52.799999,31.73,87.760002,117.629997,160.759995,108.360001,82.300003,48.279999,66.699997,83.449997,59.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.080002,78.040001,162.399994,93.279999,31.32,113.57,110.300003,29.700001,240.949997,137.979996,175.820007,36.52,113.639999,87.18,41.540001,124.239998,175.039993,64.290001,63.68,52.360001,32.09,87.410004,117.779999,161.869995,109.650002,86.080002,48.580002,66.5,83.540001,60.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.289993,77.82,163.979996,92.870003,31.299999,112.980003,109.57,29.66,239.979996,136.490005,175.860001,36.27,113.400002,86.769997,41.560001,124.449997,175.100006,64.940002,63.639999,52.799999,32.23,87.400002,117.669998,160.509995,110.68,85.830002,48.029999,66.400002,83.309998,60.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.529999,77.720001,166.5,93.309998,31.450001,111.389999,109,29.559999,239.619995,136.649994,178.460007,36.349998,113.480003,86.720001,41.900002,124.589996,175.759995,64.199997,63.43,52.810001,32.080002,88.010002,117.760002,160.529999,111.25,85.779999,48.040001,66.889999,82.769997,59.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.039993,77.800003,163.809998,92.910004,31.27,111.580002,109,29.43,237.729996,137.880005,176.169998,36.380001,113.400002,85.959999,42.02,124.669998,177.070007,64.32,63.34,53.880001,32.139999,88.330002,117.809998,160.309998,110.400002,85.089996,48.369999,67.809998,81.480003,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.419998,78.18,164.279999,93.959999,31.5,112.260002,109.489998,29.59,241.550003,138.710007,177.210007,35.459999,114.080002,87.199997,41.25,124.480003,178.179993,64.389999,64.059998,55.310001,32.380001,88.669998,118.779999,160.440002,110.089996,85.580002,48.810001,69.080002,81.839996,60.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.119995,78.480003,166.229996,96.309998,31.51,113.050003,109.260002,29.719999,242.720001,139.850006,178.679993,35.34,115.239998,87,40.580002,125.82,179,64.150002,64,56.220001,32.349998,87.970001,119.730003,160.75,111.050003,85.900002,48.98,68.019997,82.519997,61.189999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.289993,78.910004,168.029999,98.5,31.969999,113.910004,109.650002,30.040001,246.270004,139.869995,179.360001,35.799999,115.879997,88.150002,40.619999,125.540001,181.020004,64.769997,64.720001,56.09,32.610001,88.309998,119.709999,161.990005,112.019997,86.440002,48.549999,67.769997,83,61.560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.020004,79.410004,168.5,98.089996,32.310001,112.519997,110.330002,30.280001,249.460007,141.360001,180.130005,35.93,116.360001,89.559998,40.529999,125.809998,181.600006,65.660004,64.57,56.450001,32.75,87.860001,120.239998,163.130005,111.57,86.849998,48.27,68.660004,82.82,61.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.509995,79.599998,169.300003,99.019997,32.82,112.57,110.18,30.35,250.539993,142.190002,181.679993,36.049999,117.199997,90.589996,40.439999,126.480003,181.699997,65.160004,64.529999,56.639999,33.509998,91.120003,120.980003,164.289993,111.910004,87.540001,48.080002,68.690002,83.160004,61.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.350006,79.510002,170.809998,98.260002,33.599998,110.68,110.709999,30.450001,249.440002,141.539993,181.429993,36.41,118.080002,90.529999,41.200001,126.699997,183.410004,65.260002,64.519997,56.290001,33.619999,90.790001,121.790001,163.649994,112.07,87.410004,48.459999,68.870003,82.300003,61.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.720001,79.709999,172.710007,98.849998,33.740002,110.330002,110.059998,30.370001,250.380005,143,180.669998,36.48,118.860001,90.230003,41.23,127.800003,182.949997,65.389999,64.620003,56.75,33.619999,91.089996,121.949997,157.619995,112.150002,87.459999,49.189999,69.370003,81.760002,61.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.699997,79.970001,175.559998,98.099998,34.130001,111.720001,110.010002,30.52,251.759995,145.020004,180.259995,36.52,119.660004,91.010002,41.459999,128.039993,183.369995,65.480003,64.489998,57.360001,33.619999,91.669998,121.550003,160.570007,112.5,87.919998,49.43,71.449997,81.889999,61.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.110001,79.860001,175.360001,98.199997,34.09,110.379997,110.120003,30.33,251.729996,145.25,181.149994,36.07,119.519997,91.059998,41.599998,127.849998,186.039993,65.290001,64.360001,58.240002,33.59,91.440002,121.900002,160.570007,112.660004,87.800003,49.669998,71.709999,80.93,63.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.529999,80.050003,176.860001,95.550003,34.040001,111.019997,109.730003,30.02,251.190002,144.710007,181.649994,36.18,121.699997,91.129997,41.66,128.270004,187.190002,65.849998,64.620003,57.389999,34.060001,91.129997,122.360001,162.600006,112.089996,88.18,50.310001,71.309998,81.779999,63.369999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
